feature,score
q_word_zj_label_min,5428
label_huidalv,4843
q_label_zj_word_min,1535
huidalv,1351
q_label_zj_label_min,965
label_tuisongbi,863
zj_tuisong,786
label_huidabi,720
zj_answer,531
zj_q_label_tuisong,516
zj_q_label_answers,493
